LA_name,LA_code,Covid_Death_Total,Population_Density,Children,Teenagers,Adults,Middle Age Adults,Senior,Good Health,Very good health,Bad health,Very bad health,No Dimension ,one dimension,two dimensions,three dimensions,four dimensions,Economically active (excluding full-time students),Economically active and a full-time student,Economically inactive
West Northamptonshire,E06000062,0.62,425.73,193.13,44.23,193.3,398.63,170.71,466.75,492,32.63,8.62,210.19,134.57,49.16,10.94,0.66,510.39,21.36,275.11
Derby,E06000015,2.71,261.35,199.62,50.79,211.43,374.46,163.7,483.67,458.42,44.16,13.79,184.37,136.44,63.54,18.78,1.13,450.84,24.94,324.64
Derbyshire Dales,E07000035,2.33,71.54,146.46,38.4,124.45,410.87,279.82,478.96,475.36,35.42,10.32,238.89,150.47,52.7,8.74,0.5,470.24,10.26,373.07
Doncaster,E08000017,2.59,308.11,185.6,41.02,189.07,390.06,194.25,488.23,443.16,52.55,16.05,189.51,150.36,72.49,20.03,0.82,462.84,11.88,339.69
Dover,E07000108,2.91,116.41,174.17,39.79,161.77,384.6,239.67,496.08,442.03,48.2,13.72,196.04,151.87,68.74,16.48,1.09,452.45,11.29,362.12
Dudley,E08000027,2.23,323.5,188.57,43.37,181.83,382.02,204.21,500.8,438.48,47.29,13.41,187.09,146.39,71.4,18.04,0.79,464.13,13.47,333.81
Ealing,E09000009,2.02,367.12,195.42,47.57,224.19,411.7,121.12,433.8,524.51,31.65,10.03,167.59,124.35,55.23,15.49,1.41,497.35,20.98,286.23
East Cambridgeshire,E07000009,1.11,87.76,186.11,39.08,157.63,409.6,207.58,475.25,483.39,32.58,8.79,226.38,141.12,47.04,9,0.34,515.46,11.13,287.3
East Devon,E07000040,1.2,150.82,155.41,37.07,135.95,371.71,299.87,487.54,463.95,38.44,10.11,224.69,156.62,51.78,9.18,0.56,448.01,10.74,385.88
Dorset,E06000059,1.42,379.58,151.95,39.48,132.73,380.05,295.79,500.23,448.83,39.95,10.99,222.54,156.04,55.67,10.9,0.77,448.35,11.84,387.85
East Hampshire,E07000085,1.56,125.74,174.29,42.2,145.97,406.44,231.11,456.59,507.61,28.62,7.2,238.94,132.29,39.81,7.74,0.49,497.14,12.76,315.84
East Hertfordshire,E07000242,1.53,150.16,193.17,41.57,169.39,413.45,182.43,427.06,539.8,26.08,7.03,236.05,127.96,41.3,7.47,0.27,518.31,11.76,276.74
East Lindsey,E07000137,2.24,142.29,146.72,34.59,136.02,378.14,304.53,539.33,379.04,63.03,18.63,181.02,168.01,84.07,20.76,1.23,406.35,8.91,438.06
East Northamptonshire,E06000011,0.56,342.22,158.01,38.46,143.99,395.09,264.44,497.57,448.68,41.17,12.57,227.06,151.17,55.29,10.35,0.49,462.6,13.11,366.27
East Riding of Yorkshire,E07000193,6.03,124.02,189.58,42.78,187.89,393.63,186.13,486.28,465.39,37.39,10.94,204.15,140.37,55.47,12.85,0.76,485.95,15.37,309.1
