LA_name,LA_code,Covid_Death_Total,Population_Density,Children,Teenagers,Adults,Middle Age Adults,Senior,Good Health,Very good health,Bad health,Very bad health,No Dimension ,one dimension,two dimensions,three dimensions,four dimensions,Economically active (excluding full-time students),Economically active and a full-time student,Economically inactive
Nuneaton and Bedworth,E07000219,2.04,134.2,190.84,40.39,190.2,387.79,190.78,498.17,443.04,45.27,13.46,189.96,145.89,67.26,17.41,1.12,482.03,14.16,312.96
Oadby and Wigston,E07000135,2.79,57.75,182.45,61.31,165.9,377.31,213.03,491.84,460.03,37.57,10.46,192.35,135.56,53.52,9.51,0.64,459.04,16.1,342.3
Oldham,E08000004,2.59,242.08,227.42,52.54,189.31,371.25,159.48,468.03,469.22,48.43,14.34,157.51,133.32,69.89,22.8,1.21,421.54,16.19,334.88
Oxford,E07000178,1.08,162.04,156.27,87.57,312.66,326.43,117.07,418.77,547.81,26.05,7.37,177.93,109.73,41.43,10.9,0.9,436.75,42.57,364.41
Pendle,E07000122,2.72,95.75,214.46,47.04,180.12,378.31,180.08,474.52,467.37,44.76,13.42,168.98,139.24,67.36,20.88,1.09,424.28,14.47,346.85
Peterborough,E06000031,1.47,215.68,223.02,45.61,205.41,384.12,141.84,487.34,461.57,39.79,11.28,176.57,136.84,60.75,16.59,1.19,482.11,14.48,280.38
Plymouth,E06000026,0.78,264.69,174.05,49.91,217.26,373.77,185,478.17,457.58,49.53,14.74,196.83,146.96,68.86,19.07,1.07,458.18,25.94,341.83
Portsmouth,E06000044,1.71,208,178.77,59.48,246.95,366.78,148.02,476.86,473.58,38.46,11.11,195.47,138.47,61.97,16.94,1.35,469.26,37.36,314.62
Preston,E07000123,2.1,147.84,197.27,54.12,232.31,368.8,147.5,460.03,484.22,43.15,12.6,187.95,135.5,60.41,18.26,1.08,444.17,37.39,321.16
Reading,E06000038,1.53,174.24,188.62,52.19,257.71,381.07,120.42,451.38,511.93,28.8,7.83,199.06,124.96,49.83,13.49,1.12,515.87,27.61,267.82
Redbridge,E09000026,2.63,310.26,219.95,49.72,211.45,396.62,122.26,446.59,513.12,30.51,9.76,154.69,116.85,49.37,12.47,0.89,469.14,22.28,288.64
Redcar and Cleveland,E06000003,2.31,136.54,177.16,41.13,160.73,388.45,232.53,498.4,425.42,57.98,18.17,199.16,154.27,75.49,21.75,0.78,423.38,13.31,386.1
Redditch,E07000236,1.98,87.03,192.87,41.43,191.22,388.87,185.61,483.11,465.11,40.75,11.08,195.98,143.75,61.76,15.37,1.11,501.93,13.37,291.85
Reigate and Banstead,E07000211,2.64,150.85,203.59,39.06,168.52,411.69,177.13,428.05,537.98,26.38,7.56,226.37,122.33,39.24,8.15,0.65,507.37,12.81,276.14
Ribble Valley,E07000124,2.36,61.56,164.06,40.73,143.77,410.18,241.27,436.68,525.68,30.13,7.55,254.61,132.49,39.88,7.08,0.44,494.1,13.56,328.37
Richmond upon Thames,E09000027,1.51,195.28,202,40.19,155.05,441.71,161.04,375.8,593.81,23.42,6.96,252.26,115.96,35.81,8.59,0.67,513.91,12.62,271.48
Rochdale,E08000005,2.68,223.78,218.21,46.8,188.55,381.69,164.75,466.83,469.03,50.11,14.01,171.96,137.3,69.81,22.72,1.4,436.48,15.17,330.14
Rochford,E07000075,3.13,85.67,174.51,41.04,155.72,395.24,233.49,468.78,488.71,33.12,9.33,205.08,144.66,55.79,8.93,0.6,483.8,12.13,329.51
Rossendale,E07000125,2.34,70.88,191.48,41.51,168.66,405.61,192.75,468.83,469.98,48.39,12.75,206.92,142.09,63.43,17.92,0.82,476.2,13.11,319.16
Rother,E07000064,3.75,93.11,146.29,36.49,126.71,366.26,324.25,517.32,422.74,46.88,13.05,206.75,166.2,65.64,12.8,0.77,418.73,9.95,425.03
Rotherham,E08000018,2.8,265.81,188.99,42.9,182.56,389.07,196.49,488.05,441.52,54.17,16.26,186.8,145.47,74.72,20.77,0.84,455.96,13.01,342.04
Rugby,E07000220,1.51,114.37,193.9,41.38,185.06,397.7,181.95,468.92,488.29,33.99,8.78,219.44,135.87,45.74,9.67,0.38,512.34,15.68,278.06
Runnymede,E07000212,1.76,88.09,174.41,63.8,205.19,384.46,172.14,440.37,523.68,28.23,7.65,211.19,128.35,46.61,8.78,0.57,481.06,30.98,313.52
Rushcliffe,E07000176,1.7,119.08,179.33,42.63,161.41,400.47,216.17,430.26,531.04,30.48,8.21,244.58,127.91,39.91,6.33,0.18,480.32,16.12,324.22
Rushmoor,E07000092,2.2,99.76,189.31,40.44,220.44,398.14,151.67,466.96,495.48,29.72,7.82,201.3,129.2,50.5,12.15,0.84,541.67,15.16,253.85
Rutland,E06000017,1.58,41.05,164.48,52.74,150.28,379.49,253.01,461.19,503.43,28.48,6.87,235.69,128.72,37.25,4.82,0.19,462.48,10.72,362.29
Salford,E08000006,2.29,269.93,196.35,46.39,272.43,351.75,133.08,442.3,498.09,45.96,13.64,198.04,137.7,67.53,22.09,1.1,482.46,27.98,293.19
Sandwell,E08000028,2.82,341.84,221.76,50.6,198.36,383.89,145.4,485.06,448.57,51.11,15.25,144.48,134.73,76.77,23.87,1.16,434.84,19.16,324.23
Sefton,E08000014,2.8,279.23,167.76,39.61,164.29,396.4,231.94,466.36,463.59,53.55,16.51,199.36,149.88,70.97,19.56,0.98,456.74,14.76,360.74
Sevenoaks,E07000111,2.28,120.52,198.41,41.46,143.87,401.12,215.15,434.28,526.15,30.37,9.19,222.35,129.1,44.8,9.9,0.54,477.34,9.97,314.27
Sheffield,E08000019,2.16,556.52,180.17,56.47,234.09,358.89,170.38,473.12,466.57,46.72,13.6,189.1,141.71,65.82,19.01,1.15,436.07,31.22,352.53
Folkestone and Hythe,E07000112,3.32,109.75,165.87,37.36,157.41,389.47,249.9,503.24,431.91,50.29,14.61,195.65,156.19,69.66,17.48,1.45,450.16,12.37,371.65
Shropshire,E06000051,1.67,323.61,158.71,41.64,154.35,391.64,253.66,482.87,466.3,39.54,11.28,219.01,146.81,53.64,11.42,0.44,479.01,12.05,350.22
Slough,E06000039,1.97,158.5,249.64,48.19,204.78,400.73,96.65,445.56,516.98,29.18,8.29,139.96,120.99,54.28,14.47,1.06,483.67,19.3,247.41
Solihull,E08000029,2.54,216.24,193.03,42.24,165.38,388.47,210.88,457.87,492.55,38.35,11.25,209.85,133.72,56,13.48,0.76,466.16,12.3,328.53
South Cambridgeshire,E07000012,1.12,162.12,195.9,41.46,152.45,414.02,196.17,443.63,522.08,26.6,7.69,241.39,127.66,37.49,6.51,0.22,512.18,12.44,279.5
South Derbyshire,E07000039,2.22,107.2,188.93,40.59,179.57,404.95,185.96,471.98,481.97,35.94,10.15,228.97,133.42,49.42,9.86,0.33,507.72,13.79,289.63
South Gloucestershire,E06000025,1.34,290.42,182.7,45.16,199.65,385.9,186.6,460.71,497.19,32.81,9.29,219.34,133.04,45.32,8.45,0.5,508.59,19.83,288.89
South Hams,E07000044,0.51,88.63,154.12,37.58,128.1,397.21,282.99,459.19,490.8,38.51,11.49,235.17,148.71,50,9.36,0.58,462.49,11.54,371.84
South Holland,E07000140,1.86,95.12,169.51,36.69,164.33,390.88,238.59,529.17,414.07,44.87,11.92,188.47,159.85,66.47,12.54,0.58,485.87,10.45,334.2
South Kesteven,E07000141,1.89,143.4,177.07,39.83,151.2,400.97,230.93,492.29,460.06,38.05,9.63,226.57,147.71,53.51,10.08,0.42,484.71,11.7,326.54
South Norfolk,E07000149,1.53,141.95,174.2,37.66,151.11,393.9,243.12,486.38,470.19,34.36,9.07,223.45,149.55,50.12,8.88,0.43,481.94,11.83,332.02
South Oxfordshire,E07000179,1.37,149.08,185.1,39.62,161.56,408.6,205.12,433.34,534.22,25.7,6.78,241.98,127.5,36.31,6.41,0.3,519.71,11.11,284.11
South Ribble,E07000126,2.03,111.04,175.93,40.18,165.93,401.53,216.42,471.52,478.85,38.89,10.69,229.29,144.48,52.87,10.43,0.5,495.35,15.75,312.89
South Staffordshire,E07000196,2.27,110.47,154.81,37.51,158.33,398.22,251.14,496.85,450.04,41.08,12.01,209.94,140.44,55.89,10.9,0.32,467.96,11.49,365.75
South Tyneside,E08000023,3.03,147.78,179.22,40.05,174.68,397.37,208.68,485.86,437.52,58.93,17.69,200.21,157.68,81.01,22.49,0.71,445.16,13.59,362.01
Southampton,E06000045,1.37,248.91,178.99,57.38,269.26,356.8,137.58,473.46,476.89,38.31,11.38,186.42,140.91,63.6,18.37,1.66,475,33.55,312.5
Southend-on-Sea,E06000033,3.36,180.69,189.7,39.85,179.95,399.21,191.28,477.27,467,43.13,12.61,197.64,149.75,66.3,18.14,1.77,477.43,13.13,319.75
Southwark,E09000028,1.36,307.64,167.4,42.83,320.83,385.44,83.49,400.89,557.86,31.05,10.19,206.43,135.93,61.82,19.72,1.33,560.13,28.93,243.53
Spelthorne,E07000213,1.98,102.95,190.32,38.78,178.52,411.81,180.57,457.24,504.24,29.84,8.71,206.73,136.26,51.09,11.12,0.86,516.37,13.53,279.82
St Albans,E07000240,2.16,148.17,216.48,42.18,148.77,420.49,172.08,394.47,575.29,23.76,6.45,241.42,115.19,33.79,7.32,0.4,498.62,13.31,271.55
St. Helens,E08000013,2.74,183.25,178.34,40.06,180.9,395.31,205.39,473.33,451.56,57.8,17.3,195.33,147.73,75.59,22.71,0.75,462.87,13.7,345.12
Stafford,E07000197,2.34,136.87,169.88,36.32,165.8,398.21,229.79,483.15,467.83,38.01,10.98,232.45,143.48,51.69,10.52,0.58,484.42,15.21,330.45
Staffordshire Moorlands,E07000198,2.8,95.85,156.4,39.55,143.1,398.86,262.09,496.98,446.58,43.23,13.17,217.96,150.95,60.74,11.99,0.24,472.27,14.42,356.87
Stevenage,E07000243,1.71,89.5,204.01,41.57,204.78,398.26,151.37,476.39,476.79,36.85,9.91,194.61,137.26,59.76,14.88,1.4,517.22,17.04,261.7
Stockport,E08000007,2.22,294.78,189.45,38.93,170.88,399.66,201.08,453.13,493.94,40.77,12.15,220.26,138.14,55.77,14.57,0.91,484.85,12.29,313.4
Stockton-on-Tees,E06000004,2.23,196.59,196.27,41.79,176.72,396.09,189.14,472.18,465.32,47.77,14.73,205.99,138.29,64.18,16.91,0.67,454.31,15.4,334.02
Stoke-on-Trent,E06000021,2.77,258.38,203.08,46.8,205.79,373.01,171.32,499.72,426.67,56.3,17.28,175.59,149.32,77.87,23.49,1.02,444.25,20.08,332.57
Stratford-on-Avon,E07000221,2,134.73,163.93,36.9,145.25,402.18,251.74,462.94,496.39,31.73,8.93,249.42,140.28,43.21,8.22,0.22,497.48,11.04,327.53
Stroud,E07000082,1.43,121.1,172.65,40.74,145.54,407.96,233.11,472.18,486.31,33.15,8.36,238.57,139.65,44.8,9.03,0.47,499.63,12.64,315.1
East Suffolk,E07000244,3.63,246.06,159.88,39.08,143.17,380.25,277.62,509.45,433.25,45.31,11.99,211.03,159.69,63.94,14.54,0.89,442.56,11.83,385.74
Sunderland,E08000024,2.83,274.17,175.44,42.55,183.13,393.67,205.2,488.73,431.34,61.4,18.55,184.8,154.78,80.84,24.24,0.98,442.54,16.85,365.2
Surrey Heath,E07000214,2.52,90.46,184.27,41.82,161.09,415.87,196.95,429.63,538.03,24.86,7.41,230.57,123.72,36.4,6.92,0.44,510.62,13.88,291.16
Sutton,E09000029,2.17,209.64,209.81,41.85,177.18,419.75,151.41,446.64,514.18,30.16,9.02,199.83,130.02,49.91,12.16,0.89,509.75,14.06,266.4
Swale,E07000113,2.64,151.68,195.66,42.08,183.65,387.99,190.61,488.38,454.69,44.09,12.84,176.76,140.42,62.9,17.64,1.11,470.68,11.37,322.27
Swindon,E06000030,1.36,233.41,198.19,41,191.36,410.63,158.83,474.79,480.75,35.07,9.38,202.43,138.8,55.13,13.57,0.76,516.83,14,270.97
Tameside,E08000008,2.77,231.06,198.79,42.22,187.94,395.74,175.32,480.82,453.14,51.16,14.92,186.01,147.31,73.82,22.25,1.35,471.14,13.91,316.18
Tamworth,E07000199,2.45,78.65,188.91,42.72,189.93,388.83,189.61,487.69,455.18,43.66,13.48,191.13,144.71,66.44,15.46,0.51,494.76,16.76,299.62
Tandridge,E07000215,2.39,87.88,193.97,42.59,147.32,407.36,208.76,439.7,522.51,29.25,8.53,226.88,128.27,40.99,8.65,0.57,494.69,11.15,300.13
Teignbridge,E07000045,0.78,134.81,158.31,36.52,142.65,392.23,270.29,490.18,455.67,42.57,11.56,219.36,155.16,57.57,11,0.79,467.15,11.59,362.93
Telford and Wrekin,E06000020,1.3,185.52,198.72,46.35,191.33,387.32,176.28,479.26,459.64,47.5,13.7,189.68,139.76,65.38,16.91,0.67,472,15.16,314.19
Tendring,E07000076,3.88,148.29,157.81,36.83,145.41,364.11,295.84,527.89,394.45,59.96,17.74,174.38,171.44,86.02,21.38,1.65,408.8,10.2,423.22
Test Valley,E07000093,1.69,130.49,181.92,37.99,163.2,404.83,212.06,458.03,503.46,30.33,8.21,233.43,134.15,42.71,8.55,0.41,509.23,13.2,295.67
Tewkesbury,E07000083,1.85,94.89,184.75,37.37,163.92,391.47,222.48,462.92,497.81,31.15,8.07,237.57,139.85,45.07,8.4,0.46,496.57,11.67,306.96
Thanet,E07000114,3.19,140.59,179.04,39.66,163.8,380.95,236.55,507.95,419.67,55.65,16.74,182.07,159.92,77.93,20.7,1.82,437.97,12.55,370.42
Three Rivers,E07000102,2.44,93.77,200.15,43.94,156.85,418.14,180.92,428.1,536.72,27.58,7.57,217.48,123.55,42.5,8.68,0.86,510.41,13.12,276.29
Thurrock,E06000034,2.54,176,225.21,46.29,201.28,391.68,135.54,448.94,507.68,33.55,9.86,172.19,131.79,57.98,14.2,0.99,498.6,19.1,257.11
Tonbridge and Malling,E07000115,1.85,132.2,201.77,43.9,159.04,403.87,191.42,446.39,513.6,31.5,8.55,218.49,129.74,46.63,9.94,0.48,495.01,11.74,291.5
Torbay,E06000027,1.07,139.32,160,38.06,150.4,384.63,266.92,504.4,422.34,56.66,16.6,190.47,162.25,76.19,21.42,1.81,435.57,12.16,392.26
Torridge,E07000046,0.65,68.12,154.94,36.19,136.33,388.86,283.68,501.54,438.21,47.21,12.92,206.26,160.74,65.93,13.31,0.88,451.37,9.84,383.75
Tower Hamlets,E09000030,1.61,310.3,185.05,48.61,377.6,332.43,56.3,421.78,529.67,36,12.56,180.26,123.55,60.22,22.73,1.7,517.04,32.54,265.36
Trafford,E08000009,2,235.06,208.03,43.46,161.66,411.16,175.68,422.52,530.95,35.76,10.73,220.73,126.34,49.63,12.26,0.58,484.16,14.08,293.68
Tunbridge Wells,E07000116,1.81,115.31,198.67,43.33,153.26,410.72,194.01,434.46,527.56,29.62,8.37,231.06,129.99,45.95,10.3,0.9,494.85,10.6,295.88
Uttlesford,E07000077,1.41,91.34,195.08,41.99,147.46,413.7,201.77,427.83,539.99,25.19,7,234.85,124.41,38.38,6.69,0.27,508.86,10.85,285.19
Vale of White Horse,E07000180,1.35,138.91,190.67,40.81,173.76,397.04,197.72,444.09,523.55,25.81,6.57,240.69,128.23,37.81,6.84,0.35,514.99,12.55,281.8
Wakefield,E08000036,2.27,353.38,186.3,39.43,189.53,396.25,188.5,487.44,447.07,50.65,14.82,193.8,146.58,71.58,20.49,0.74,477.58,12.42,323.7
Walsall,E08000030,3.1,284.13,214.78,47.79,189.26,374.08,174.09,490.09,444.06,50.05,15.78,158.83,138.28,74.66,22.1,1.11,436.43,15.8,332.96
Waltham Forest,E09000031,1.95,278.43,202,42.87,239.38,413.74,102,440.9,515.17,33.32,10.61,167.28,124.94,59.47,16.52,1.36,523.12,22.2,252.66
Wandsworth,E09000032,1.36,327.51,164.71,31.83,335.77,372,95.69,362.33,606.33,24.02,7.32,244.84,116.86,44.04,12.56,1.21,596.94,18.1,220.24
Warrington,E06000007,2.44,210.97,181.33,41.16,175.1,412.06,190.35,449.06,500.61,39.18,11.18,222.77,137.63,54.79,13.39,0.57,496.28,15.52,306.9
Warwick,E07000222,1.63,148.45,169.75,52.08,207.63,381.75,188.79,441.23,520.92,29.59,8.27,242.19,127.43,41.97,9.47,0.75,492.06,21.23,316.97
Watford,E07000103,2.32,102.24,208.16,42.38,213.71,409.71,126.04,438.93,523.84,28.9,8.35,196.11,128.27,49.79,12.36,1.05,528.48,18.65,244.73
Waverley,E07000216,2.34,128.23,191.82,48.81,135.6,405.37,218.4,421.5,546.46,25.24,6.78,243.53,122.45,35.94,6.74,0.35,478.42,13.83,315.98
Wealden,E07000065,2.34,160.15,165.48,39.1,137.74,392.37,265.31,473.59,482.17,35.14,9.12,223.72,146.04,48.12,8.04,0.34,472.46,11.5,350.58
Welwyn Hatfield,E07000241,2.05,119.84,186.52,56.02,221.5,379.05,156.92,445.01,516.49,30.57,7.89,198.65,128.3,47.66,10.35,0.63,474.63,42.32,296.51
West Berkshire,E06000037,1.38,161.45,190.24,43.88,159.04,411.66,195.18,456.07,510.46,26.75,6.73,231.17,130.43,42.3,8.45,0.53,516.89,12.75,280.14
West Devon,E07000047,0.53,57.09,152.96,39.51,125.86,396.69,284.97,491.09,455.52,41.69,11.75,214.32,152.96,55.63,10.86,0.93,451.11,9.84,386.12
West Lancashire,E07000127,2.22,117.43,162.62,64.78,174.3,379.27,219.03,462.6,480.81,43.55,13.06,201.31,140.02,58.06,13.34,0.57,452.03,29.31,356.06
West Lindsey,E07000142,1.69,95.15,168.55,38.02,146.84,394.54,252.05,505.81,438.17,44.42,11.6,219.17,151.97,59.96,13.38,0.57,452.75,11.34,367.42
West Oxfordshire,E07000181,1.57,114.23,178.83,39.56,166.44,398.55,216.62,451.71,512.64,28,7.69,237.81,133.73,40.76,7.39,0.35,521.09,11.23,288.89
Westminster,E09000033,1.75,204.24,131.06,43.57,310.89,393.15,121.34,385.9,563.22,36.25,14.6,232.77,141.2,62.32,24.6,3.34,517.71,22.28,328.94
Wigan,E08000010,2.75,329.33,184.12,41.37,184.46,396.93,193.12,474.93,462.68,48.84,13.56,202.28,142.57,69.55,19.37,0.77,479.79,14.84,321.25
Wiltshire,E06000054,1.51,510.34,178.74,42.33,164.13,396.26,218.54,462.33,495.37,33.3,9,225.12,138.98,47.42,9.5,0.44,501.2,12.34,307.72
Winchester,E07000094,1.49,127.45,178.09,59.91,167.34,386.1,208.56,433.31,532.37,27.2,7.08,236.59,123.23,38.5,7.01,0.44,472.08,24.5,325.32
Windsor and Maidenhead,E06000040,2.04,153.5,194.28,44.89,156.72,419.6,184.51,412.16,557.63,23.69,6.53,234.04,118.32,37.29,6.98,0.35,510.56,11.25,283.92
Wirral,E08000015,2.8,320.2,181.41,41.46,164.58,392.71,219.84,462.49,464.85,55.72,16.95,204.65,149.45,71.6,20.75,0.93,446.41,12.75,359.43
Woking,E07000217,1.79,103.94,201.66,39.45,179.06,414.28,165.56,432.93,532.99,26.71,7.39,224.09,123.64,41.26,8.94,0.73,516.57,14.87,266.94
Wokingham,E06000041,1.5,177.5,206.67,44.61,159.8,416.81,172.1,423.88,549.6,20.71,5.82,239.54,113.65,31.06,5.07,0.34,510.58,14.73,268.05
Wolverhampton,E08000031,2.79,263.73,209.63,45.96,196.22,384.08,164.11,488.17,448.35,49.11,14.35,160.82,140.5,74.74,21.42,1.19,445.13,21.21,324.02
Worcester,E07000237,1.68,103.87,175.83,49.33,211.95,386.81,176.08,478.23,473.88,37.38,10.57,215.65,142.44,56.47,14.95,1.04,499.85,25.84,298.5
Worthing,E07000229,1.87,111.34,170.52,38.75,166.58,400.03,224.13,494.89,452.73,40.65,11.75,212.45,154.72,61.75,14.36,1.64,490.56,15.13,323.82
Wychavon,E07000238,1.87,132.5,164.35,38.08,152.42,396.57,248.58,479.59,474.25,36.45,9.69,223.6,146.04,52.24,10.38,0.63,487.57,11.03,337.02
Wyre,E07000128,3.04,111.95,157.17,40.22,143.69,381.99,276.93,487.52,443.26,52.72,16.47,208.72,158.17,69.61,16.19,0.79,434.48,14.89,393.44
Wyre Forest,E07000239,2.45,101.61,167.74,38.61,157.24,383.79,252.62,505.48,433.07,47.42,14.01,204.69,155.1,68.18,17.03,1.04,462.92,11.81,357.53
York,E06000014,1.66,202.82,151.55,65.65,227.78,364.04,190.98,471.53,486.19,33.47,8.81,226.92,137.61,46.93,9.46,0.43,460.48,38.64,349.32
